rating,book_title,book_author,year_of_publication,publisher,Category
0,The Lost World,Michael Crichton,1996.0,Ballantine Books,fiction
0,The Surgeon,TESS GERRITSEN,2002.0,Ballantine Books,fiction
0,Charlotte's Web (Trophy Newbery),E. B. White,1974.0,HarperTrophy,juvenile fiction
6,Point of Origin,Patricia Daniels Cornwell,1998.0,Putnam Pub Group,fiction
9,"Dude, Where's My Country?",Michael Moore,2003.0,Warner Books,humor
0,The Coffin Dancer (Lincoln Rhyme Novels (Paperback)),Jeffery Deaver,1999.0,Pocket Books,fiction
5,1st to Die: A Novel,James Patterson,2002.0,Warner Vision,fiction
0,K Is for Killer (Kinsey Millhone Mysteries (Paperback)),Sue Grafton,1999.0,Fawcett Books,fiction
0,Wild Animus,Rich Shapero,2004.0,Too Far,fiction
0,The Switch,Sandra Brown,2001.0,Warner Vision,fiction
8,The Last Precinct,Patricia Cornwell,2001.0,Berkley Publishing Group,fiction
0,Bridget Jones's Diary,Helen Fielding,1999.0,Penguin Books,fiction
0,Lasher: Lives of the Mayfair Witches (Lives of the Mayfair Witches),Anne Rice,1995.0,Ballantine Books,fiction
0,A Thin Dark Line (Mysteries & Horror),TAMI HOAG,1998.0,Bantam,fiction
8,The Street Lawyer,John Grisham,1998.0,Doubleday Books,fiction
0,Big Cherry Holler: A Big Stone Gap Novel (Ballantine Reader's Circle),Adriana Trigiani,2002.0,Ballantine Books,fiction
9,Prodigal Summer,Barbara Kingsolver,2000.0,HarperCollins,fiction
0,Vinegar Hill (Oprah's Book Club (Paperback)),A. Manette Ansay,1998.0,Perennial,fiction
0,Along Came a Spider (Alex Cross Novels),James Patterson,1993.0,Warner Books,fiction
0,Silent Witness,RICHARD NORTH PATTERSON,1997.0,Ballantine Books,fiction
0,Kaleidoscope,Danielle Steel,1988.0,Dell,fiction
0,The Nanny Diaries: A Novel,Emma McLaughlin,2002.0,St. Martin's Press,fiction
9,Wifey,Judy Blume,1989.0,Pocket,fiction
0,The Samurai's Garden : A Novel,Gail Tsukiyama,1996.0,St. Martin's Griffin,fiction
6,Dreamcatcher,Stephen King,2001.0,Scribner,fiction
0,The Pillars of the Earth,Ken Follett,1996.0,Signet Book,fiction
8,Plum Island,Nelson DeMille,1998.0,Warner Books,fiction
6,That Camden Summer,Lavyrle Spencer,1997.0,Jove Books,fiction
0,The Client,John Grisham,1994.0,Dell Publishing Company,fiction
0,The Da Vinci Code,Dan Brown,2003.0,Doubleday,fiction
6,The Hundred Secret Senses,Amy Tan,1996.0,Ivy Books,fiction
9,American Psycho (Vintage Contemporaries),Bret Easton Ellis,2000.0,Vintage Books USA,fiction
8,The Curious Incident of the Dog in the Night-Time (Vintage Contemporaries),Mark Haddon,2004.0,Vintage,fiction
0,Sphere,MICHAEL CRICHTON,1988.0,Ballantine Books,fiction
0,Wild Animus,Rich Shapero,2004.0,Too Far,fiction
10,Harry Potter and the Prisoner of Azkaban (Book 3),J. K. Rowling,1999.0,Scholastic,juvenile fiction
0,The Sigma Protocol,Robert Ludlum,2002.0,St. Martin's Paperbacks,fiction
0,The Chamber,John Grisham,1995.0,Dell Publishing Company,fiction
3,The Last Time They Met : A Novel,Anita Shreve,2001.0,"Little, Brown",fiction
10,The Cider House Rules,John Irving,1994.0,Ballantine Books,fiction
0,The Bachelor (Warner Books Contemporary Romance),Carly Phillips,2002.0,Warner Forever,fiction
10,You Belong To Me,Mary Higgins Clark,1999.0,Pocket Books,fiction
0,Sphere,MICHAEL CRICHTON,1988.0,Ballantine Books,fiction
0,"Lamb : The Gospel According to Biff, Christ's Childhood Pal",Christopher Moore,2003.0,Perennial,fiction
0,Nights in Rodanthe,Nicholas Sparks,2002.0,Warner Books,fiction
9,A Prayer for Owen Meany,John Irving,1990.0,Ballantine Books,fiction
0,The Terminal Man,Michael Crichton,1988.0,Ballantine Books,fiction
0,Good in Bed,Jennifer Weiner,2002.0,Washington Square Press,fiction
8,Open House (Oprah's Book Club (Paperback)),Elizabeth Berg,2001.0,Ballantine Books,fiction
0,The Rapture of Canaan,Sheri Reynolds,1997.0,Berkley Publishing Group,fiction
0,Nightmares & Dreamscapes,Stephen King,2004.0,Signet Book,fiction
0,The Secret Life of Bees,Sue Monk Kidd,2002.0,Viking Books,african american women
0,The Wailing Wind,Tony Hillerman,2003.0,HarperTorch,fiction
0,The Bone Collector (Lincoln Rhyme Novels (Paperback)),Jeff Deaver,2004.0,Signet Book,fiction
10,"The Drawing of the Three (The Dark Tower, Book 2)",Stephen King,1997.0,Signet Book,fiction
0,The Diary of Ellen Rimbauer: My Life at Rose Red,Ellen Rimbauer,2002.0,Hyperion Press,fiction
7,Firefly Summer,Maeve Binchy,1989.0,Dell,fiction
10,"The Fellowship of the Ring (The Lord of the Rings, Part 1)",J.R.R. TOLKIEN,1986.0,Del Rey,fiction
0,Bridget Jones's Diary,Helen Fielding,2001.0,Picador,diary fiction
0,A Time to Kill,JOHN GRISHAM,1992.0,Dell,fiction
8,A Beautiful Mind: The Life of Mathematical Genius and Nobel Laureate John Nash,Sylvia Nasar,2001.0,Simon & Schuster,biography & autobiography
0,The Laws of Our Fathers,Scott Turow,1997.0,Warner Books,fiction
0,Now You See Me,Tina Wainscott,2002.0,St. Martin's Paperbacks,fiction
0,Neverwhere,Neil Gaiman,1998.0,Avon,fiction
3,A Confederacy of Dunces (Evergreen Book),John Kennedy Toole,1987.0,Grove Press,fiction
8,Dances With Wolves,Michael Blake,1990.0,Fawcett Books,fiction
0,The Cradle Will Fall,Mary Higgins Clark,1991.0,Pocket,fiction
0,The Bridges of Madison County,Robert James Waller,1992.0,Warner Books,fiction
0,Saving Faith,David Baldacci,2000.0,Warner Vision,fiction
0,Chocolat,Joanne Harris,2000.0,Penguin Books,fiction
0,The Cat Who Ate Danish Modern (Cat Who... (Paperback)),Lilian Jackson Braun,1990.0,Jove Books,fiction
4,Timeline,MICHAEL CRICHTON,2000.0,Ballantine Books,fiction
0,Coraline,Neil Gaiman,2002.0,HarperCollins,juvenile fiction
10,The Hot Zone,Richard Preston,1995.0,Anchor,medical
5,The Ugly Duckling,Iris Johansen,1997.0,Bantam Books,fiction
0,Message in a Bottle,Nicholas Sparks,1998.0,Warner Books,fiction
7,"Tuesdays with Morrie: An Old Man, a Young Man, and Life's Greatest Lesson",MITCH ALBOM,1997.0,Doubleday,biography & autobiography
7,Sphere,MICHAEL CRICHTON,1988.0,Ballantine Books,fiction
0,Politically Correct Bedtime Stories: Modern Tales for Our Life and Times,James Finn Garner,1994.0,John Wiley & Sons Inc,humor
0,The No. 1 Ladies' Detective Agency (Today Show Book Club #8),Alexander McCall Smith,2003.0,Anchor,fiction
8,Anne Frank: The Diary of a Young Girl,ANNE FRANK,1993.0,Bantam,biography & autobiography
0,Tears of the Moon (Irish Trilogy),Nora Roberts,2000.0,Jove Books,fiction
0,The Chamber,John Grisham,1995.0,Dell Publishing Company,fiction
9,Harry Potter and the Goblet of Fire (Book 4),J. K. Rowling,2000.0,Scholastic,juvenile fiction
0,The Book of Ruth (Oprah's Book Club (Paperback)),Jane Hamilton,1990.0,Anchor,middle west
0,The Servants of Twilight,Dean R. Koontz,1996.0,Berkley Publishing Group,fiction
7,F Is for Fugitive (Kinsey Millhone Mysteries (Paperback)),Sue Grafton,1990.0,Bantam,fiction
8,Their Eyes Were Watching God: A Novel,Zora Neale Hurston,1990.0,Perennial,fiction
7,"Artemis Fowl (Artemis Fowl, Book 1)",Eoin Colfer,2002.0,Miramax Kids,juvenile fiction
9,The Murder Book,Jonathan Kellerman,2003.0,Ballantine Books,fiction
0,Phantoms,Dean R. Koontz,2002.0,Berkley Publishing Group,fiction
0,The Girls' Guide to Hunting and Fishing,Melissa Bank,2000.0,Penguin Books,fiction
0,Heart of the Sea (Irish Trilogy),Nora Roberts,2000.0,Jove Books,businessmen
10,Who Moved My Cheese? An Amazing Way to Deal with Change in Your Work and in Your Life,Spencer Johnson,1998.0,Putnam Pub Group (Paper),business & economics
0,The Switch,Sandra Brown,2001.0,Warner Vision,fiction
0,The Eyre Affair: A Novel,Jasper Fforde,2003.0,Penguin Books,fiction
8,Congo,Michael Crichton,1995.0,Ballantine Books,fiction
8,Congo,Michael Crichton,1995.0,Ballantine Books,fiction
9,From Potter's Field,Patricia Daniels Cornwell,1996.0,Berkley Publishing Group,fiction
0,Girl with a Pearl Earring,Tracy Chevalier,2001.0,Plume Books,fiction
8,From a Buick 8,Stephen King,2003.0,Pocket Books,fiction
0,The God of Small Things,Arundhati Roy,1998.0,Perennial,fiction
0,Sphere,MICHAEL CRICHTON,1988.0,Ballantine Books,fiction
0,How to Be Good,Nick Hornby,2002.0,Riverhead Books,fiction
0,The Servants of Twilight,Dean R. Koontz,1996.0,Berkley Publishing Group,fiction
0,The Bean Trees,Barbara Kingsolver,1998.0,HarperTorch,fiction
0,A Heartbreaking Work of Staggering Genius,Dave Eggers,2001.0,Vintage Books USA,biography & autobiography
0,The Alchemist: A Fable About Following Your Dream,Paulo Coelho,1995.0,HarperSanFrancisco,fiction
0,From a Buick 8 : A Novel,Stephen King,2002.0,Scribner,fiction
6,A Cry In The Night,Mary Higgins Clark,1993.0,Pocket,fiction
0,Fatal Voyage,Kathy Reichs,2002.0,Pocket,fiction
0,Primary Colors: A Novel of Politics,Anonymous,1996.0,Warner Books,fiction
7,While I Was Gone,Sue Miller,1999.0,Ballantine Books,fiction
0,To Kill a Mockingbird,Harper Lee,1988.0,Little Brown & Company,fiction
0,The Book of Ruth (Oprah's Book Club (Paperback)),Jane Hamilton,1990.0,Anchor,middle west
9,Body of Evidence (Kay Scarpetta Mysteries (Paperback)),Patricia D. Cornwell,1992.0,Avon,fiction
7,What to Expect the First Year,Arlene Eisenberg,1989.0,Workman Publishing,family & relationships
0,Isle of Dogs,Patricia Cornwell,2002.0,Berkley Publishing Group,fiction
3,Hot Six : A Stephanie Plum Novel (A Stephanie Plum Novel),Janet Evanovich,2001.0,St. Martin's Paperbacks,fiction
8,The Summons,John Grisham,2002.0,Doubleday Books,fiction
8,Wish You Well,David Baldacci,2001.0,Warner Books,fiction
0,The Alchemist: A Fable About Following Your Dream,Paulo Coelho,1995.0,HarperSanFrancisco,fiction
0,The Reader,Bernhard Schlink,1999.0,Vintage Books USA,fiction
9,The Bonesetter's Daughter,Amy Tan,2001.0,Putnam Publishing Group,fiction
0,Evening Class,Maeve Binchy,1998.0,Dell Publishing Company,fiction
8,Nickel and Dimed: On (Not) Getting By in America,Barbara Ehrenreich,2002.0,Owl Books,business & economics
10,Fahrenheit 451,RAY BRADBURY,1987.0,Del Rey,fiction
7,Girl with a Pearl Earring,Tracy Chevalier,2001.0,Plume Books,fiction
6,Mystic River,Dennis Lehane,2002.0,HarperTorch,fiction
0,Waiting (Vintage International),Ha Jin,2000.0,Vintage Books USA,fiction
0,The Poisonwood Bible,Barbara Kingsolver,1999.0,HarperCollins,fiction
10,The Street Lawyer,JOHN GRISHAM,1999.0,Dell,fiction
9,The Bourne Identity,Robert Ludlum,1984.0,Bantam Books,fiction
0,The Andromeda Strain,MICHAEL CRICHTON,1992.0,Ballantine Books,fiction
0,A Thousand Acres (Ballantine Reader's Circle),JANE SMILEY,1992.0,Ballantine Books,fiction
0,The Thorn Birds,Colleen McCullough,1978.0,Avon,fiction
0,The Bonfire of the Vanities,Tom Wolfe,1988.0,Bantam Books,fiction
0,A Prayer for Owen Meany,John Irving,1990.0,Ballantine Books,fiction
0,Up Island: A Novel,Anne Rivers Siddons,1998.0,HarperTorch,fiction
6,Gap Creek: The Story Of A Marriage,Robert Morgan,2000.0,Touchstone,fiction
0,Gerald's Game,Stephen King,2001.0,Signet Book,fiction
0,The Nanny Diaries: A Novel,Emma McLaughlin,2003.0,St. Martin's Griffin,fiction
0,Eleventh Hour: An FBI Thriller (FBI Thriller (Jove Paperback)),Catherine Coulter,2004.0,Jove Books,fiction
0,To Kill a Mockingbird,Harper Lee,1988.0,Little Brown & Company,fiction
7,Rising Sun,MICHAEL CRICHTON,1992.0,Ballantine Books,fiction
6,Isle of Dogs,Patricia Cornwell,2002.0,Berkley Publishing Group,fiction
0,Cruel & Unusual (Kay Scarpetta Mysteries (Paperback)),Patricia D. Cornwell,1994.0,Avon,fiction
0,A Time to Kill,JOHN GRISHAM,1992.0,Dell,fiction
0,The Sweet Potato Queens' Book of Love,JILL CONNER BROWNE,1999.0,Three Rivers Press,family & relationships
0,Still Waters,TAMI HOAG,1992.0,Bantam,fiction
0,Beloved (Plume Contemporary Fiction),Toni Morrison,1994.0,Plume,fiction
0,Cold Sassy Tree,Olive Ann Burns,1986.0,Delta,fiction
0,Black House,Stephen King,2002.0,Ballantine Books,fiction
0,"Dude, Where's My Country?",Michael Moore,2003.0,Warner Books,humor
0,The Burden of Proof,Scott Turow,1991.0,Warner Books,fiction
0,Fatal Voyage,Kathy Reichs,2002.0,Pocket,fiction
0,Wild Animus,Rich Shapero,2004.0,Too Far,fiction
9,"Girl, Interrupted",SUSANNA KAYSEN,1994.0,Vintage,biography & autobiography
8,The Alchemist: A Fable About Following Your Dream,Paulo Coelho,1995.0,HarperSanFrancisco,fiction
7,"Loves Music, Loves to Dance",Mary Higgins Clark,1992.0,Pocket,fiction
8,"Girl, Interrupted",SUSANNA KAYSEN,1994.0,Vintage,biography & autobiography
0,Tara Road,Maeve Binchy,2000.0,Dell Publishing Company,fiction
0,Shogun,JAMES CLAVELL,1986.0,Dell,fiction
0,Wild Animus,Rich Shapero,2004.0,Too Far,fiction
6,Wild Animus,Rich Shapero,2004.0,Too Far,fiction
0,Suzanne's Diary for Nicholas,James Patterson,2003.0,Warner Books,fiction
0,Without Remorse,Tom Clancy,2004.0,Berkley Publishing Group,fiction
0,The Honk and Holler Opening Soon,Billie Letts,1999.0,Warner Books,fiction
0,All Around the Town,Mary Higgins Clark,1993.0,Pocket Star,fiction
0,Balzac and the Little Chinese Seamstress : A Novel,DAI SIJIE,2002.0,Anchor,fiction
0,Confessions of a Shopaholic (Summer Display Opportunity),SOPHIE KINSELLA,2001.0,Delta,fiction
0,Outlander,DIANA GABALDON,1992.0,Dell,fiction
8,Harry Potter and the Order of the Phoenix (Book 5),J. K. Rowling,2003.0,Scholastic,juvenile fiction
0,"Key of Valor (Roberts, Nora. Key Trilogy, 3.)",Nora Roberts,2003.0,Jove Pubns,fiction
10,Toxin,Robin Cook,1999.0,Berkley Publishing Group,fiction
0,Up Island: A Novel,Anne Rivers Siddons,1998.0,HarperTorch,fiction
5,Seabiscuit: An American Legend,LAURA HILLENBRAND,2002.0,Ballantine Books,history
9,Back Roads,Tawni O'Dell,2001.0,Signet Book,fiction
7,The Bear and the Dragon (Jack Ryan Novels),Tom Clancy,2001.0,Berkley Publishing Group,fiction
0,From Potter's Field,Patricia Daniels Cornwell,1996.0,Berkley Publishing Group,fiction
0,Harry Potter and the Goblet of Fire (Book 4),J. K. Rowling,2002.0,Scholastic Paperbacks,juvenile fiction
8,Left Behind: A Novel of the Earth's Last Days (Left Behind No. 1),Tim Lahaye,1996.0,Tyndale House Publishers,rapture (christian eschatology)
9,A Heartbreaking Work of Staggering Genius,Dave Eggers,2001.0,Vintage Books USA,biography & autobiography
6,Tears of the Moon (Irish Trilogy),Nora Roberts,2000.0,Jove Books,fiction
0,The Chamber,John Grisham,1995.0,Dell Publishing Company,fiction
0,Tara Road,Maeve Binchy,2000.0,Dell Publishing Company,fiction
0,I Know This Much Is True (Oprah's Book Club),Wally Lamb,1998.0,Regan Books,fiction
10,Cold Mountain : A Novel,CHARLES FRAZIER,1998.0,Vintage,fiction
0,The Lottery Winner : Alvirah And Willy Stories,Mary Higgins Clark,1995.0,Pocket,fiction
8,Fatal Voyage,Kathy Reichs,2002.0,Pocket,fiction
8,The Nanny Diaries: A Novel,Emma McLaughlin,2002.0,St. Martin's Press,fiction
9,1st to Die: A Novel,James Patterson,2002.0,Warner Vision,fiction
9,Girl with a Pearl Earring,Tracy Chevalier,2001.0,Plume Books,fiction
0,The Rescue,Nicholas Sparks,2000.0,Warner Books,fiction
10,Charlotte's Web (Trophy Newbery),E. B. White,1974.0,HarperTrophy,juvenile fiction
0,Bridget Jones's Diary,Helen Fielding,2001.0,Picador,diary fiction
0,Time And Again,Nora Roberts,2001.0,Silhouette,fiction
10,Tears of the Moon (Irish Trilogy),Nora Roberts,2000.0,Jove Books,fiction
0,The Eyre Affair (Alex Awards (Awards)),Jasper Fforde,2002.0,Viking Books,fiction
0,Dying for Chocolate (Culinary Mysteries (Paperback)),DIANE MOTT DAVIDSON,1993.0,Bantam,fiction
8,Hearts In Atlantis,Stephen King,2000.0,Pocket,fiction
0,The Loop,Nicholas Evans,1999.0,Dell Publishing Company,fiction
7,The Chamber,John Grisham,1995.0,Dell Publishing Company,fiction
0,The Devil Wears Prada : A Novel,LAUREN WEISBERGER,2003.0,Doubleday,fiction
0,I Know This Much Is True (Oprah's Book Club),Wally Lamb,1998.0,Regan Books,fiction
3,Wild Animus,Rich Shapero,2004.0,Too Far,fiction
0,Fried Green Tomatoes at the Whistle Stop Cafe,Fannie Flagg,1989.0,McGraw-Hill,fiction
10,The Devil Wears Prada : A Novel,LAUREN WEISBERGER,2003.0,Doubleday,fiction
0,A Time to Kill,JOHN GRISHAM,1992.0,Dell,fiction
0,Midnight in the Garden of Good and Evil,John Berendt,1999.0,Vintage Books USA,history
8,Bridget Jones's Diary,Helen Fielding,1997.0,Picador (UK),diary fiction
10,Left Behind: A Novel of the Earth's Last Days (Left Behind No. 1),Tim Lahaye,1996.0,Tyndale House Publishers,rapture (christian eschatology)
0,Choke,CHUCK PALAHNIUK,2002.0,Anchor,fiction
8,Cry Wolf,TAMI HOAG,1993.0,Bantam,fiction
0,Total Control,David Baldacci,1997.0,Warner Books,fiction
0,The Da Vinci Code,Dan Brown,2003.0,Doubleday,fiction
7,Chicken Soup for the Pet Lover's Soul (Chicken Soup for the Soul),Jack Canfield,1998.0,Health Communications,pets
9,The Book of Ruth (Oprah's Book Club (Paperback)),Jane Hamilton,1990.0,Anchor,middle west
0,The Hours: A Novel,Michael Cunningham,2002.0,Picador,fiction
9,Empire Falls,Richard Russo,2002.0,Vintage Books USA,fiction
0,The Nanny Diaries: A Novel,Emma McLaughlin,2003.0,St. Martin's Griffin,fiction
7,Balzac and the Little Chinese Seamstress : A Novel,DAI SIJIE,2002.0,Anchor,fiction
0,What to Expect When You're Expecting (Revised Edition),Arlene Eisenberg,1996.0,Workman Pub Co,health & fitness
5,Lord of the Flies,William Gerald Golding,1959.0,Perigee Trade,fiction
0,Gorky Park,Martin Cruz Smith,1993.0,Ballantine Books,fiction
0,The King of Torts,John Grisham,2003.0,Doubleday Books,fiction
0,Don't Sweat the Small Stuff and It's All Small Stuff : Simple Ways to Keep the Little Things from Taking Over Your Life (Don't Sweat the Small Stuff Series),Richard Carlson,1997.0,Hyperion,self-help
0,What Looks Like Crazy On An Ordinary Day,Pearl Cleage,1998.0,Perennial,fiction
0,"Tuesdays with Morrie: An Old Man, a Young Man, and Life's Greatest Lesson",MITCH ALBOM,1997.0,Doubleday,biography & autobiography
0,Timeline,MICHAEL CRICHTON,2000.0,Ballantine Books,fiction
0,Watchers,Dean R. Koontz,1996.0,Berkley Publishing Group,artificial intelligence
10,Kitchen,Banana Yoshimoto,1994.0,Washington Square Press,domestic fiction
0,Personal Injuries,Scott Turow,2000.0,Warner Vision,fiction
8,Confessions of a Shopaholic,SOPHIE KINSELLA,2003.0,Dell,fiction
6,"The Vampire Lestat (Vampire Chronicles, Book II)",ANNE RICE,1986.0,Ballantine Books,horror tales
7,Tears of the Giraffe (No.1 Ladies Detective Agency),Alexander McCall Smith,2002.0,Anchor,fiction
0,The Divine Secrets of the Ya-Ya Sisterhood: A Novel,Rebecca Wells,2002.0,HarperTorch,fiction
0,A Kiss of Shadows (Meredith Gentry Novels (Paperback)),LAURELL K. HAMILTON,2002.0,Ballantine Books,fiction
9,The Nanny Diaries: A Novel,Emma McLaughlin,2002.0,St. Martin's Press,fiction
0,Congo,Michael Crichton,1995.0,Ballantine Books,fiction
0,Presumed Innocent,Scott Turow,1988.0,Warner Books,fiction
4,Seven Habits Of Highly Effective People,Stephen R. Covey,1990.0,Free Press,character
0,A Confederacy of Dunces (Evergreen Book),John Kennedy Toole,1987.0,Grove Press,fiction
10,We Were the Mulvaneys,Joyce Carol Oates,1996.0,Plume,fiction
6,Divine Secrets of the Ya-Ya Sisterhood: A Novel,Rebecca Wells,1997.0,Perennial,fiction
0,Saving Faith,David Baldacci,2000.0,Warner Vision,fiction
0,Seabiscuit: An American Legend,LAURA HILLENBRAND,2002.0,Ballantine Books,history
0,The Laws of Our Fathers,Scott Turow,1997.0,Warner Books,fiction
6,Anne Frank: The Diary of a Young Girl,ANNE FRANK,1993.0,Bantam,biography & autobiography
7,Macgregor Brides (Macgregors),Nora Roberts,1997.0,Silhouette,fiction
0,Midnight in the Garden of Good and Evil,John Berendt,1999.0,Vintage Books USA,history
0,"The Fellowship of the Ring (The Lord of the Rings, Part 1)",J.R.R. TOLKIEN,1986.0,Del Rey,fiction
0,Hard Time (V.I. Warshawski Novels (Paperback)),SARA PARETSKY,2000.0,Dell,fiction
9,Wicked: The Life and Times of the Wicked Witch of the West,Gregory Maguire,1996.0,Regan Books,fiction
0,"Artemis Fowl (Artemis Fowl, Book 1)",Eoin Colfer,2002.0,Miramax Kids,juvenile fiction
8,Hornet's Nest,Patricia Daniels Cornwell,1998.0,Berkley Publishing Group,fiction
0,The Stone Monkey (Lincoln Rhyme Novels (Paperback)),Jeffery Deaver,2003.0,Pocket,fiction
0,The Deep End of the Ocean (Oprah's Book Club (Hardcover)),Jacquelyn Mitchard,1996.0,Penguin USA,fiction
7,Don't Sweat the Small Stuff and It's All Small Stuff : Simple Ways to Keep the Little Things from Taking Over Your Life (Don't Sweat the Small Stuff Series),Richard Carlson,1997.0,Hyperion,self-help
8,Airframe,Michael Crichton,1997.0,Ballantine Books,fiction
0,The Red Tent (Bestselling Backlist),Anita Diamant,1998.0,Picador USA,fiction
3,Shopaholic Ties the Knot,Sophie Kinsella,2003.0,Delta,fiction
0,Confessions of a Shopaholic,SOPHIE KINSELLA,2003.0,Dell,fiction
7,Sphere,MICHAEL CRICHTON,1988.0,Ballantine Books,fiction
9,Quentins,Maeve Binchy,2002.0,Dutton Books,fiction
7,Seven Habits Of Highly Effective People,Stephen R. Covey,1990.0,Free Press,character
7,The Red Tent (Bestselling Backlist),Anita Diamant,1998.0,Picador USA,fiction
9,The Bad Place,Dean R. Koontz,1994.0,Berkley Publishing Group,fiction
8,The Corrections,Jonathan Franzen,2001.0,Farrar Straus & Giroux,fiction
8,Mystic River,Dennis Lehane,2002.0,HarperTorch,fiction
7,How to Be Good,Nick Hornby,2002.0,Riverhead Books,fiction
8,Fatal Voyage,Kathy Reichs,2002.0,Pocket,fiction
9,The Perfect Storm : A True Story of Men Against the Sea,Sebastian Junger,1998.0,HarperTorch,nature
0,Good in Bed,Jennifer Weiner,2002.0,Washington Square Press,fiction
0,The Street Lawyer,JOHN GRISHAM,1999.0,Dell,fiction
0,Dreamcatcher,Stephen King,2003.0,Pocket,fiction
0,Voyager,DIANA GABALDON,1994.0,Dell,fiction
9,To Kill a Mockingbird,Harper Lee,1988.0,Little Brown & Company,fiction
2,Who Moved My Cheese? An Amazing Way to Deal with Change in Your Work and in Your Life,Spencer Johnson,1998.0,Putnam Pub Group (Paper),business & economics
0,SHIPPING NEWS,Annie Proulx,1994.0,Scribner,fiction
0,A Thief of Time (Joe Leaphorn/Jim Chee Novels),Tony Hillerman,1990.0,HarperTorch,fiction
10,Plain Truth,Jodi Picoult,2001.0,Washington Square Press,fiction
0,Silent Night : A Christmas Suspense Story,Mary Higgins Clark,1996.0,Pocket,fiction
0,Personal Injuries,Scott Turow,2000.0,Warner Vision,fiction
0,Misery,Stephen King,2004.0,Penguin USA (Paper),fiction
6,The Surgeon,TESS GERRITSEN,2002.0,Ballantine Books,fiction
