isbn;book_title;book_author;year_of_publication;publisher;img_l;Language;Category
0671867156;Pretend You Don't See Her;Mary Higgins Clark;1998.0;Pocket;http://images.amazon.com/images/P/0671867156.01.LZZZZZZZ.jpg;en;['Fiction']
0451166892;The Pillars of the Earth;Ken Follett;1996.0;Signet Book;http://images.amazon.com/images/P/0451166892.01.LZZZZZZZ.jpg;en;['Fiction']
067976397X;Corelli's Mandolin : A Novel;LOUIS DE BERNIERES;1995.0;Vintage;http://images.amazon.com/images/P/067976397X.01.LZZZZZZZ.jpg;en;['Fiction']
0786868716;The Five People You Meet in Heaven;Mitch Albom;2003.0;Hyperion;http://images.amazon.com/images/P/0786868716.01.LZZZZZZZ.jpg;en;['Fiction']
0446612545;The Beach House;James Patterson;2003.0;Warner Books;http://images.amazon.com/images/P/0446612545.01.LZZZZZZZ.jpg;9;9
0671027360;Angels & Demons;Dan Brown;2001.0;Pocket Star;http://images.amazon.com/images/P/0671027360.01.LZZZZZZZ.jpg;9;9
0743439740;Every Breath You Take : A True Story of Obsession, Revenge, and Murder;Ann Rule;2002.0;Pocket;http://images.amazon.com/images/P/0743439740.01.LZZZZZZZ.jpg;9;9
0671042858;The Girl Who Loved Tom Gordon;Stephen King;2000.0;Pocket;http://images.amazon.com/images/P/0671042858.01.LZZZZZZZ.jpg;9;9
0425184226;The Sum of All Fears;Tom Clancy;2002.0;Berkley Publishing Group;http://images.amazon.com/images/P/0425184226.01.LZZZZZZZ.jpg;en;['Fiction']
0060929790;One Hundred Years of Solitude;Gabriel Garcia Marquez;1998.0;Perennial;http://images.amazon.com/images/P/0060929790.01.LZZZZZZZ.jpg;en;['Fiction']
0060976845;Little Altars Everywhere: A Novel;Rebecca Wells;1996.0;Perennial;http://images.amazon.com/images/P/0060976845.01.LZZZZZZZ.jpg;en;['Fiction']
0671004573;Before I Say Good-Bye;Mary Higgins Clark;2001.0;Pocket;http://images.amazon.com/images/P/0671004573.01.LZZZZZZZ.jpg;9;9
038572179X;Atonement : A Novel;IAN MCEWAN;2003.0;Anchor;http://images.amazon.com/images/P/038572179X.01.LZZZZZZZ.jpg;en;['Fiction']
0553583468;Whisper of Evil (Hooper, Kay. Evil Trilogy.);Kay Hooper;2002.0;Bantam Books;http://images.amazon.com/images/P/0553583468.01.LZZZZZZZ.jpg;en;['Fiction']
0380778556;Rebecca;Daphne Du Maurier;1994.0;Avon;http://images.amazon.com/images/P/0380778556.01.LZZZZZZZ.jpg;en;['Fiction']
0446527165;Wish You Well;David Baldacci;2000.0;Warner Books;http://images.amazon.com/images/P/0446527165.01.LZZZZZZZ.jpg;9;9
0330332775;Bridget Jones's Diary;Helen Fielding;1997.0;Picador (UK);http://images.amazon.com/images/P/0330332775.01.LZZZZZZZ.jpg;en;['Diary fiction']
0060915544;The Bean Trees;Barbara Kingsolver;1989.0;Perennial;http://images.amazon.com/images/P/0060915544.01.LZZZZZZZ.jpg;9;9
0060977493;The God of Small Things;Arundhati Roy;1998.0;Perennial;http://images.amazon.com/images/P/0060977493.01.LZZZZZZZ.jpg;en;['Fiction']
0156006529;Where or When  : A Novel;Anita Shreve;1999.0;Harvest Books;http://images.amazon.com/images/P/0156006529.01.LZZZZZZZ.jpg;en;['Fiction']
0316096199;Lucky : A Memoir;Alice Sebold;2002.0;Back Bay Books;http://images.amazon.com/images/P/0316096199.01.LZZZZZZZ.jpg;9;9
0316601950;The Pilot's Wife : A Novel;Anita Shreve;1999.0;Back Bay Books;http://images.amazon.com/images/P/0316601950.01.LZZZZZZZ.jpg;9;9
0316602906;The Big Bad Wolf: A Novel;James Patterson;2003.0;Little, Brown;http://images.amazon.com/images/P/0316602906.01.LZZZZZZZ.jpg;9;9
0316666343;The Lovely Bones: A Novel;Alice Sebold;2002.0;Little, Brown;http://images.amazon.com/images/P/0316666343.01.LZZZZZZZ.jpg;9;9
0316693006;Four Blind Mice;James Patterson;2002.0;Little, Brown;http://images.amazon.com/images/P/0316693006.01.LZZZZZZZ.jpg;9;9
0316776963;Me Talk Pretty One Day;David Sedaris;2001.0;Back Bay Books;http://images.amazon.com/images/P/0316776963.01.LZZZZZZZ.jpg;9;9
0316899984;River, Cross My Heart;Breena Clarke;1999.0;Little Brown & Company;http://images.amazon.com/images/P/0316899984.01.LZZZZZZZ.jpg;9;9
0345378490;Congo;Michael Crichton;1995.0;Ballantine Books;http://images.amazon.com/images/P/0345378490.01.LZZZZZZZ.jpg;en;['Fiction']
0375400117;Memoirs of a Geisha;Arthur Golden;1997.0;Alfred A. Knopf;http://images.amazon.com/images/P/0375400117.01.LZZZZZZZ.jpg;en;['Fiction']
0375705856;Plainsong (Vintage Contemporaries);KENT HARUF;2000.0;Vintage;http://images.amazon.com/images/P/0375705856.01.LZZZZZZZ.jpg;en;['Fiction']
0375727345;House of Sand and Fog;Andre Dubus III;2000.0;Vintage Books;http://images.amazon.com/images/P/0375727345.01.LZZZZZZZ.jpg;9;9
0380717018;Body of Evidence (Kay Scarpetta Mysteries (Paperback));Patricia D. Cornwell;1992.0;Avon;http://images.amazon.com/images/P/0380717018.01.LZZZZZZZ.jpg;en;['Fiction']
0380718332;All That Remains (Kay Scarpetta Mysteries (Paperback));Patricia D. Cornwell;1993.0;Avon;http://images.amazon.com/images/P/0380718332.01.LZZZZZZZ.jpg;en;['Fiction']
0385497466;The Brethren;JOHN GRISHAM;2000.0;Doubleday;http://images.amazon.com/images/P/0385497466.01.LZZZZZZZ.jpg;9;9
0385508042;The King of Torts;John Grisham;2003.0;Doubleday Books;http://images.amazon.com/images/P/0385508042.01.LZZZZZZZ.jpg;en;['Fiction']
0385509456;The Curious Incident of the Dog in the Night-Time : A Novel;MARK HADDON;2003.0;Doubleday;http://images.amazon.com/images/P/0385509456.01.LZZZZZZZ.jpg;9;9
0385511612;Bleachers;John Grisham;2003.0;Doubleday;http://images.amazon.com/images/P/0385511612.01.LZZZZZZZ.jpg;en;['Fiction']
0385720106;A Map of the World;Jane Hamilton;1999.0;Anchor Books/Doubleday;http://images.amazon.com/images/P/0385720106.01.LZZZZZZZ.jpg;en;['Fiction']
0385730586;Sisterhood of the Traveling Pants;ANN BRASHARES;2003.0;Delacorte Books for Young Readers;http://images.amazon.com/images/P/0385730586.01.LZZZZZZZ.jpg;en;['Juvenile Fiction']
0425092917;The Accidental Tourist;Anne Tyler;1994.0;Berkley Publishing Group;http://images.amazon.com/images/P/0425092917.01.LZZZZZZZ.jpg;9;9
0425163407;Unnatural Exposure;Patricia Daniels Cornwell;1998.0;Berkley Publishing Group;http://images.amazon.com/images/P/0425163407.01.LZZZZZZZ.jpg;en;['Fiction']
0440224764;The Partner;John Grisham;1998.0;Dell Publishing Company;http://images.amazon.com/images/P/0440224764.01.LZZZZZZZ.jpg;9;9
0440226430;Summer Sisters;Judy Blume;1999.0;Dell Publishing Company;http://images.amazon.com/images/P/0440226430.01.LZZZZZZZ.jpg;9;9
044023722X;A Painted House;John Grisham;2001.0;Dell Publishing Company;http://images.amazon.com/images/P/044023722X.01.LZZZZZZZ.jpg;en;['Fiction']
0446364800;The General's Daughter;Nelson DeMille;1993.0;Warner Books;http://images.amazon.com/images/P/0446364800.01.LZZZZZZZ.jpg;9;9
0446605484;Roses Are Red (Alex Cross Novels);James Patterson;2001.0;Warner Vision;http://images.amazon.com/images/P/0446605484.01.LZZZZZZZ.jpg;9;9
0446606383;The Midnight Club;James Patterson;1999.0;Warner Vision;http://images.amazon.com/images/P/0446606383.01.LZZZZZZZ.jpg;9;9
0446610399;The Rescue;Nicholas Sparks;2001.0;Warner Books;http://images.amazon.com/images/P/0446610399.01.LZZZZZZZ.jpg;9;9
0446612790;2nd Chance;James Patterson;2003.0;Warner Vision;http://images.amazon.com/images/P/0446612790.01.LZZZZZZZ.jpg;9;9
0449006522;Manhattan Hunt Club;JOHN SAUL;2002.0;Ballantine Books;http://images.amazon.com/images/P/0449006522.01.LZZZZZZZ.jpg;en;['Fiction']
0452282152;Girl with a Pearl Earring;Tracy Chevalier;2001.0;Plume Books;http://images.amazon.com/images/P/0452282152.01.LZZZZZZZ.jpg;en;['Fiction']
051512219X;Small Town Girl;Lavyrle Spencer;1998.0;Jove Books;http://images.amazon.com/images/P/051512219X.01.LZZZZZZZ.jpg;en;['Fiction']
0515130389;Carolina Moon;Nora Roberts;2001.0;Jove Books;http://images.amazon.com/images/P/0515130389.01.LZZZZZZZ.jpg;en;['Fiction']
0671023616;Postmortem (Kay Scarpetta Mysteries (Paperback));Patricia Cornwell;1998.0;Pocket;http://images.amazon.com/images/P/0671023616.01.LZZZZZZZ.jpg;9;9
0671027387;Deception Point;Dan Brown;2002.0;Pocket;http://images.amazon.com/images/P/0671027387.01.LZZZZZZZ.jpg;9;9
0671042572;Jewel (Oprah's Book Club);Bret Lott;1999.0;Pocket;http://images.amazon.com/images/P/0671042572.01.LZZZZZZZ.jpg;9;9
0684848783;Tis : A Memoir;Frank McCourt;1999.0;Scribner;http://images.amazon.com/images/P/0684848783.01.LZZZZZZZ.jpg;en;['Biography & Autobiography']
155874262X;Chicken Soup for the Soul (Chicken Soup for the Soul);Jack Canfield;1993.0;Health Communications;http://images.amazon.com/images/P/155874262X.01.LZZZZZZZ.jpg;en;['Self-Help']
0060987103;Wicked: The Life and Times of the Wicked Witch of the West;Gregory Maguire;1996.0;Regan Books;http://images.amazon.com/images/P/0060987103.01.LZZZZZZZ.jpg;en;['Fiction']
0151008116;Life of Pi;Yann Martel;2002.0;Harcourt;http://images.amazon.com/images/P/0151008116.01.LZZZZZZZ.jpg;en;['Fiction']
0525947647;Lies and the Lying Liars Who Tell Them: A Fair and Balanced Look at the Right;Al Franken;2003.0;Dutton Books;http://images.amazon.com/images/P/0525947647.01.LZZZZZZZ.jpg;en;['Humor']
0804111359;Secret History;DONNA TARTT;1993.0;Ballantine Books;http://images.amazon.com/images/P/0804111359.01.LZZZZZZZ.jpg;en;['Fiction']
1558744150;Chicken Soup for the Woman's Soul (Chicken Soup for the Soul Series (Paper));Jack Canfield;1996.0;Health Communications;http://images.amazon.com/images/P/1558744150.01.LZZZZZZZ.jpg;9;9
0060930535;The Poisonwood Bible: A Novel;Barbara Kingsolver;1999.0;Perennial;http://images.amazon.com/images/P/0060930535.01.LZZZZZZZ.jpg;9;9
0061020710;The Color of Magic;Terry Pratchett;2000.0;HarperTorch;http://images.amazon.com/images/P/0061020710.01.LZZZZZZZ.jpg;en;['Fiction']
014028009X;Bridget Jones's Diary;Helen Fielding;1999.0;Penguin Books;http://images.amazon.com/images/P/014028009X.01.LZZZZZZZ.jpg;en;['Fiction']
0140298479;Bridget Jones: The Edge of Reason;Helen Fielding;2001.0;Penguin Books;http://images.amazon.com/images/P/0140298479.01.LZZZZZZZ.jpg;9;9
014100018X;Chocolat;Joanne Harris;2000.0;Penguin Books;http://images.amazon.com/images/P/014100018X.01.LZZZZZZZ.jpg;en;['Fiction']
0142001740;The Secret Life of Bees;Sue Monk Kidd;2003.0;Penguin Books;http://images.amazon.com/images/P/0142001740.01.LZZZZZZZ.jpg;en;['Fiction']
0312305060;The Hours: A Novel;Michael Cunningham;2002.0;Picador;http://images.amazon.com/images/P/0312305060.01.LZZZZZZZ.jpg;en;['Fiction']
0316569321;White Oleander : A Novel;Janet Fitch;1999.0;Little, Brown;http://images.amazon.com/images/P/0316569321.01.LZZZZZZZ.jpg;9;9
0345350499;The Mists of Avalon;MARION ZIMMER BRADLEY;1987.0;Del Rey;http://images.amazon.com/images/P/0345350499.01.LZZZZZZZ.jpg;en;['FICTION']
0345384466;The Witching Hour (Lives of the Mayfair Witches);ANNE RICE;1993.0;Ballantine Books;http://images.amazon.com/images/P/0345384466.01.LZZZZZZZ.jpg;en;['Fiction']
0345387651;The Cider House Rules;John Irving;1994.0;Ballantine Books;http://images.amazon.com/images/P/0345387651.01.LZZZZZZZ.jpg;en;['Fiction']
0373218400;Table For Two;Nora Roberts;2002.0;Silhouette;http://images.amazon.com/images/P/0373218400.01.LZZZZZZZ.jpg;en;['Fiction']
0380789019;Neverwhere;Neil Gaiman;1998.0;Avon;http://images.amazon.com/images/P/0380789019.01.LZZZZZZZ.jpg;en;['Fiction']
0380789035;American Gods;Neil Gaiman;2002.0;HarperTorch;http://images.amazon.com/images/P/0380789035.01.LZZZZZZZ.jpg;en;['Fiction']
0380977788;Coraline;Neil Gaiman;2002.0;HarperCollins;http://images.amazon.com/images/P/0380977788.01.LZZZZZZZ.jpg;en;['Juvenile Fiction']
038542017X;Like Water for Chocolate : A Novel in Monthly Installments with Recipes, Romances, and Home Remedies;LAURA ESQUIVEL;1995.0;Anchor;http://images.amazon.com/images/P/038542017X.01.LZZZZZZZ.jpg;9;9
0399146431;The Bonesetter's Daughter;Amy Tan;2001.0;Putnam Publishing Group;http://images.amazon.com/images/P/0399146431.01.LZZZZZZZ.jpg;en;['Fiction']
0399501487;Lord of the Flies;William Gerald Golding;1959.0;Perigee Trade;http://images.amazon.com/images/P/0399501487.01.LZZZZZZZ.jpg;en;['Fiction']
0425145638;Fatal Cure;Robin Cook;1997.0;Berkley Publishing Group;http://images.amazon.com/images/P/0425145638.01.LZZZZZZZ.jpg;9;9
0439064864;Harry Potter and the Chamber of Secrets (Book 2);J. K. Rowling;1999.0;Scholastic;http://images.amazon.com/images/P/0439064864.01.LZZZZZZZ.jpg;en;['Juvenile Fiction']
0439064872;Harry Potter and the Chamber of Secrets (Book 2);J. K. Rowling;2000.0;Scholastic;http://images.amazon.com/images/P/0439064872.01.LZZZZZZZ.jpg;9;9
0439136350;Harry Potter and the Prisoner of Azkaban (Book 3);J. K. Rowling;1999.0;Scholastic;http://images.amazon.com/images/P/0439136350.01.LZZZZZZZ.jpg;en;['Juvenile Fiction']
0439136369;Harry Potter and the Prisoner of Azkaban (Book 3);J. K. Rowling;2001.0;Scholastic;http://images.amazon.com/images/P/0439136369.01.LZZZZZZZ.jpg;9;9
0439139597;Harry Potter and the Goblet of Fire (Book 4);J. K. Rowling;2000.0;Scholastic;http://images.amazon.com/images/P/0439139597.01.LZZZZZZZ.jpg;en;['Juvenile Fiction']
043935806X;Harry Potter and the Order of the Phoenix (Book 5);J. K. Rowling;2003.0;Scholastic;http://images.amazon.com/images/P/043935806X.01.LZZZZZZZ.jpg;en;['Juvenile Fiction']
0440211263;Circle of Friends;Maeve Binchy;1991.0;Dell;http://images.amazon.com/images/P/0440211263.01.LZZZZZZZ.jpg;en;['Fiction']
0440241413;Confessions of a Shopaholic;SOPHIE KINSELLA;2003.0;Dell;http://images.amazon.com/images/P/0440241413.01.LZZZZZZZ.jpg;en;['Fiction']
0441003257;Good Omens;Neil Gaiman;1996.0;Ace Books;http://images.amazon.com/images/P/0441003257.01.LZZZZZZZ.jpg;en;['Fiction']
0441569595;Neuromancer (Remembering Tomorrow);William Gibson;1995.0;Ace Books;http://images.amazon.com/images/P/0441569595.01.LZZZZZZZ.jpg;9;9
0446356832;The Sands of Time;Sidney Sheldon;1989.0;Warner Books;http://images.amazon.com/images/P/0446356832.01.LZZZZZZZ.jpg;9;9
0446527785;A Bend in the Road;Nicholas Sparks;2001.0;Warner Books;http://images.amazon.com/images/P/0446527785.01.LZZZZZZZ.jpg;9;9
0446605239;The Notebook;Nicholas Sparks;1998.0;Warner Books;http://images.amazon.com/images/P/0446605239.01.LZZZZZZZ.jpg;9;9
0451137965;Thinner;Stephen King;1985.0;New Amer Library;http://images.amazon.com/images/P/0451137965.01.LZZZZZZZ.jpg;en;['Fiction']
0451167317;The Dark Half;Stephen King;1994.0;Signet Book;http://images.amazon.com/images/P/0451167317.01.LZZZZZZZ.jpg;en;['Fiction']
0451524934;1984;George Orwell;1990.0;Signet Book;http://images.amazon.com/images/P/0451524934.01.LZZZZZZZ.jpg;en;['London (England)']
0451526341;Animal Farm;George Orwell;2004.0;Signet;http://images.amazon.com/images/P/0451526341.01.LZZZZZZZ.jpg;en;['Fiction']
051512317X;Rising Tides;Nora Roberts;2001.0;Jove Books;http://images.amazon.com/images/P/051512317X.01.LZZZZZZZ.jpg;9;9
051513287X;Face the Fire (Three Sisters Island Trilogy);Nora Roberts;2002.0;Jove Books;http://images.amazon.com/images/P/051513287X.01.LZZZZZZZ.jpg;en;['Fiction']
0553250426;The Clan of the Cave Bear (Earth's Children (Paperback));Jean M. Auel;1984.0;Bantam Books;http://images.amazon.com/images/P/0553250426.01.LZZZZZZZ.jpg;9;9
0553250531;The Valley of Horses;JEAN M. AUEL;1984.0;Bantam;http://images.amazon.com/images/P/0553250531.01.LZZZZZZZ.jpg;en;['Fiction']
0553265741;Sacred Sins;Nora Roberts;1990.0;Bantam Books;http://images.amazon.com/images/P/0553265741.01.LZZZZZZZ.jpg;en;['Fiction']
0590353403;Harry Potter and the Sorcerer's Stone (Book 1);J. K. Rowling;1998.0;Scholastic;http://images.amazon.com/images/P/0590353403.01.LZZZZZZZ.jpg;en;['Juvenile Fiction']
0671021001;She's Come Undone (Oprah's Book Club);Wally Lamb;1998.0;Pocket;http://images.amazon.com/images/P/0671021001.01.LZZZZZZZ.jpg;9;9
0671525743;Night Whispers;Judith McNaught;1999.0;Pocket;http://images.amazon.com/images/P/0671525743.01.LZZZZZZZ.jpg;en;['Fiction']
0679735909;Possession : A Romance;A.S. BYATT;1991.0;Vintage;http://images.amazon.com/images/P/0679735909.01.LZZZZZZZ.jpg;9;9
067976402X;Snow Falling on Cedars;David Guterson;1995.0;Vintage Books USA;http://images.amazon.com/images/P/067976402X.01.LZZZZZZZ.jpg;en;['Fiction']
0684833395;Catch 22;Joseph Heller;1996.0;Simon & Schuster;http://images.amazon.com/images/P/0684833395.01.LZZZZZZZ.jpg;9;9
0684872153;Angela's Ashes (MMP) : A Memoir;Frank McCourt;1999.0;Scribner;http://images.amazon.com/images/P/0684872153.01.LZZZZZZZ.jpg;en;['Biography & Autobiography']
0684874350;ANGELA'S ASHES;Frank McCourt;1996.0;Scribner;http://images.amazon.com/images/P/0684874350.01.LZZZZZZZ.jpg;en;['Biography & Autobiography']
0743225406;The Shipping News : A Novel;Annie Proulx;2001.0;Scribner;http://images.amazon.com/images/P/0743225406.01.LZZZZZZZ.jpg;9;9
080410753X;The Kitchen God's Wife;Amy Tan;1992.0;Ivy Books;http://images.amazon.com/images/P/080410753X.01.LZZZZZZZ.jpg;9;9
0380730138;Vinegar Hill (Oprah's Book Club (Paperback));A. Manette Ansay;1998.0;Perennial;http://images.amazon.com/images/P/0380730138.01.LZZZZZZZ.jpg;en;['Fiction']
0425120279;The Hunt for Red October;Tom Clancy;1990.0;Berkley Publishing Group;http://images.amazon.com/images/P/0425120279.01.LZZZZZZZ.jpg;en;['Fiction']
0060188731;Bel Canto;Ann Patchett;2001.0;HarperCollins Publishers;http://images.amazon.com/images/P/0060188731.01.LZZZZZZZ.jpg;en;['Fiction']
0312995423;Digital Fortress : A Thriller;Dan Brown;2003.0;St. Martin's Press;http://images.amazon.com/images/P/0312995423.01.LZZZZZZZ.jpg;9;9
038542471X;The Client;John Grisham;1993.0;Doubleday Books;http://images.amazon.com/images/P/038542471X.01.LZZZZZZZ.jpg;en;['Fiction']
0515128554;Heart of the Sea (Irish Trilogy);Nora Roberts;2000.0;Jove Books;http://images.amazon.com/images/P/0515128554.01.LZZZZZZZ.jpg;en;['Businessmen']
0380012863;Jonathan Livingston Seagull;Richard Bach;1976.0;Avon;http://images.amazon.com/images/P/0380012863.01.LZZZZZZZ.jpg;9;9
0671867113;Moonlight Becomes You;Mary Higgins Clark;1997.0;Pocket;http://images.amazon.com/images/P/0671867113.01.LZZZZZZZ.jpg;en;['Fiction']
0060173289;Divine Secrets of the Ya-Ya Sisterhood : A Novel;Rebecca Wells;1996.0;HarperCollins;http://images.amazon.com/images/P/0060173289.01.LZZZZZZZ.jpg;9;9
006101351X;The Perfect Storm : A True Story of Men Against the Sea;Sebastian Junger;1998.0;HarperTorch;http://images.amazon.com/images/P/006101351X.01.LZZZZZZZ.jpg;en;['Nature']
0440224675;Hannibal;Thomas Harris;2000.0;Dell Publishing Company;http://images.amazon.com/images/P/0440224675.01.LZZZZZZZ.jpg;en;['Fiction']
0449002632;London : The Novel;EDWARD RUTHERFURD;1998.0;Fawcett;http://images.amazon.com/images/P/0449002632.01.LZZZZZZZ.jpg;en;['Fiction']
0553569058;The Robber Bride;Margaret Atwood;1995.0;Bantam;http://images.amazon.com/images/P/0553569058.01.LZZZZZZZ.jpg;en;['Fiction']
1878424319;The Four Agreements: A Practical Guide to Personal Freedom;Don Miguel Ruiz;1997.0;Amber-Allen Publishing;http://images.amazon.com/images/P/1878424319.01.LZZZZZZZ.jpg;en;['Self-Help']
044021145X;The Firm;John Grisham;1992.0;Bantam Dell Publishing Group;http://images.amazon.com/images/P/044021145X.01.LZZZZZZZ.jpg;9;9
0553210092;The Scarlet Letter;NATHANIEL HAWTHORNE;1965.0;Bantam;http://images.amazon.com/images/P/0553210092.01.LZZZZZZZ.jpg;en;['Adulteresses']
0316168815;The Lovely Bones;Alice Sebold;2004.0;Back Bay Books;http://images.amazon.com/images/P/0316168815.01.LZZZZZZZ.jpg;en;['Fiction']
0345424719;A Widow for One Year;JOHN IRVING;1999.0;Ballantine Books;http://images.amazon.com/images/P/0345424719.01.LZZZZZZZ.jpg;en;['Fiction']
0375726403;Empire Falls;Richard Russo;2002.0;Vintage Books USA;http://images.amazon.com/images/P/0375726403.01.LZZZZZZZ.jpg;en;['Fiction']
0385503857;Oryx and Crake;Margaret Atwood;2003.0;Nan A. Talese;http://images.amazon.com/images/P/0385503857.01.LZZZZZZZ.jpg;9;9
0440226104;Black and Blue;ANNA QUINDLEN;1999.0;Dell;http://images.amazon.com/images/P/0440226104.01.LZZZZZZZ.jpg;9;9
0805063897;Nickel and Dimed: On (Not) Getting By in America;Barbara Ehrenreich;2002.0;Owl Books;http://images.amazon.com/images/P/0805063897.01.LZZZZZZZ.jpg;en;['Business & Economics']
0671002481;The First Wives Club Movie Tie In;Olivia Goldsmith;1996.0;Pocket;http://images.amazon.com/images/P/0671002481.01.LZZZZZZZ.jpg;en;['Fiction']
0842329129;Left Behind: A Novel of the Earth's Last Days (Left Behind No. 1);Tim Lahaye;1996.0;Tyndale House Publishers;http://images.amazon.com/images/P/0842329129.01.LZZZZZZZ.jpg;en;['Rapture (Christian eschatology)']
0060932759;Daughter of Fortune;Isabel Allende;2000.0;Perennial;http://images.amazon.com/images/P/0060932759.01.LZZZZZZZ.jpg;9;9
0312195516;The Red Tent (Bestselling Backlist);Anita Diamant;1998.0;Picador USA;http://images.amazon.com/images/P/0312195516.01.LZZZZZZZ.jpg;en;['Fiction']
0312278586;The Nanny Diaries: A Novel;Emma McLaughlin;2002.0;St. Martin's Press;http://images.amazon.com/images/P/0312278586.01.LZZZZZZZ.jpg;en;['Fiction']
0380710218;Postmortem;Patricia Daniels Cornwell;1993.0;Harper Mass Market Paperbacks (Mm);http://images.amazon.com/images/P/0380710218.01.LZZZZZZZ.jpg;en;['Detective and mystery stories']
0515118656;The Cove;Catherine Coulter;1996.0;Jove Books;http://images.amazon.com/images/P/0515118656.01.LZZZZZZZ.jpg;9;9
0671673688;While My Pretty One Sleeps;Mary Higgins Clark;1990.0;Pocket;http://images.amazon.com/images/P/0671673688.01.LZZZZZZZ.jpg;en;['Fiction']
0156027321;Life of Pi;Yann Martel;2003.0;Harvest Books;http://images.amazon.com/images/P/0156027321.01.LZZZZZZZ.jpg;9;9
0385721420;Three Junes;JULIA GLASS;2003.0;Anchor;http://images.amazon.com/images/P/0385721420.01.LZZZZZZZ.jpg;en;['Fiction']
0451202341;Back Roads;Tawni O'Dell;2001.0;Signet Book;http://images.amazon.com/images/P/0451202341.01.LZZZZZZZ.jpg;en;['Fiction']
0345441133;Summer Island;KRISTIN HANNAH;2002.0;Ballantine Books;http://images.amazon.com/images/P/0345441133.01.LZZZZZZZ.jpg;9;9
0385424728;The Chamber;John Grisham;1994.0;Doubleday Books;http://images.amazon.com/images/P/0385424728.01.LZZZZZZZ.jpg;9;9
0385490992;The Street Lawyer;John Grisham;1998.0;Doubleday Books;http://images.amazon.com/images/P/0385490992.01.LZZZZZZZ.jpg;en;['Fiction']
